Wall time,Step,Value
1667954022.2489774,5000,66.0
1667954028.6641529,10000,137.0
1667954035.449882,15000,204.0
1667954041.6995723,20000,250.0
1667954046.5834274,25000,283.0
1667954052.3488188,30000,358.0
1667954059.6865318,35000,393.0
1667954066.5950832,40000,429.0
1667954073.5535262,45000,470.0
1667954080.6316442,50000,594.0
1667954087.4744365,55000,522.0
1667954093.3492162,60000,690.0
1667954100.3663278,65000,727.0
1667954107.6092298,70000,736.0
1667954114.5860934,75000,771.0
1667954121.9156713,80000,850.0
1667954129.714661,85000,900.0
1667954135.2777262,90000,926.0
1667954142.341732,95000,967.0
1667954149.799123,100000,1037.0
1667954157.0388682,105000,1123.0
1667954164.4285803,110000,1133.0
1667954171.6969607,115000,1178.0
1667954177.619863,120000,1327.0
1667954183.8851752,125000,1337.0
1667954190.1928525,130000,1388.0
1667954196.1713784,135000,1399.0
1667954202.3247478,140000,1448.0
1667954208.4829214,145000,1493.0
1667954213.3493195,150000,1630.0
1667954219.3753185,155000,1711.0
1667954225.489295,160000,1627.0
1667954231.6632352,165000,1748.0
1667954237.3074505,170000,1828.0
1667954243.3562257,175000,1824.0
1667954248.2366097,180000,1797.0
1667954254.383204,185000,1871.0
1667954260.4593098,190000,1975.0
1667954266.3835897,195000,2070.0
1667954272.4099298,200000,2054.0
1667954277.222859,205000,2104.0
1667954283.2612002,210000,2138.0
1667954289.347818,215000,2157.0
1667954295.4499705,220000,2322.0
1667954301.807744,225000,2281.0
1667954309.539265,230000,2422.0
1667954315.8435829,235000,2448.0
1667954323.472357,240000,2646.0
1667954331.0151267,245000,2487.0
1667954338.287576,250000,2541.0
1667954345.496823,255000,2675.0
1667954352.8553672,260000,2853.0
1667954358.737981,265000,2677.0
1667954366.0690563,270000,2768.0
1667954373.2697334,275000,2793.0
1667954380.7005303,280000,3083.0
1667954388.2035515,285000,2928.0
1667954395.6640778,290000,2975.0
1667954401.784612,295000,3117.0
1667954408.6953924,300000,3159.0
1667954416.0242858,305000,3202.0
1667954423.2383838,310000,3384.0
1667954430.2202163,315000,3435.0
1667954437.196355,320000,3419.0
1667954443.1293573,325000,3534.0
1667954450.257844,330000,3322.0
1667954457.555228,335000,3587.0
1667954464.5248344,340000,3474.0
1667954471.730718,345000,3555.0
