Wall time,Step,Value
1667961473.869194,5000,94.0
1667961476.7381647,10000,149.0
1667961478.4553983,15000,170.0
1667961481.6442978,20000,264.0
1667961484.5283167,25000,302.0
1667961486.376,30000,356.0
1667961489.8915246,35000,396.0
1667961492.3937886,40000,380.0
1667961495.766507,45000,430.0
1667961498.8061886,50000,560.0
1667961501.6898148,55000,586.0
1667961504.4952662,60000,660.0
1667961507.9345284,65000,672.0
1667961511.824024,70000,726.0
1667961515.7069366,75000,859.0
1667961519.4327095,80000,788.0
1667961523.50448,85000,846.0
1667961526.957157,90000,998.0
1667961531.6258903,95000,1022.0
1667961536.5069497,100000,1080.0
1667961541.013493,105000,1205.0
1667961545.929784,110000,1082.0
1667961551.2737336,115000,1294.0
1667961554.9832182,120000,1224.0
1667961560.323543,125000,1352.0
1667961566.0529346,130000,1336.0
1667961570.7227197,135000,1428.0
1667961576.3455267,140000,1467.0
1667961580.554722,145000,1583.0
1667961585.6259146,150000,1642.0
1667961591.047388,155000,1545.0
1667961596.5865602,160000,1622.0
1667961602.0741048,165000,1719.0
1667961607.4984407,170000,1800.0
1667961611.4219534,175000,1951.0
1667961616.7015238,180000,1909.0
1667961621.955387,185000,1933.0
1667961627.502742,190000,2032.0
1667961633.0704622,195000,2029.0
1667961638.3985784,200000,2098.0
1667961642.3766973,205000,2080.0
1667961648.2117696,210000,2152.0
1667961653.601358,215000,2143.0
1667961659.6716118,220000,2338.0
1667961665.0030806,225000,2299.0
1667961670.590035,230000,2401.0
1667961674.456356,235000,2493.0
1667961680.1129465,240000,2544.0
1667961685.4021306,245000,2466.0
1667961690.5898542,250000,2564.0
1667961695.8126774,255000,2670.0
1667961701.252689,260000,2663.0
1667961705.403617,265000,2785.0
1667961710.5217803,270000,2872.0
1667961715.9194276,275000,2955.0
1667961721.3956704,280000,2948.0
1667961726.7491717,285000,3007.0
1667961730.400527,290000,2991.0
1667961735.9254193,295000,3075.0
1667961741.378243,300000,3093.0
1667961746.527285,305000,3189.0
1667961751.4269269,310000,3253.0
1667961756.8413255,315000,3255.0
1667961761.0299532,320000,3290.0
1667961766.357306,325000,3432.0
1667961771.9134877,330000,3448.0
1667961777.2108946,335000,3469.0
1667961782.5215294,340000,3597.0
1667961787.6794357,345000,3647.0
1667961792.1582518,350000,3699.0
1667961797.3686113,355000,3730.0
1667961802.5697465,360000,3798.0
1667961807.9169993,365000,3730.0
1667961813.272951,370000,3789.0
1667961818.5707104,375000,3820.0
1667961822.3089051,380000,3885.0
1667961827.6362314,385000,4058.0
1667961832.9282541,390000,4041.0
1667961838.1163292,395000,4030.0
1667961843.3178442,400000,4152.0
1667961848.5406632,405000,4255.0
1667961852.2063124,410000,4384.0
1667961857.104367,415000,4364.0
1667961862.5106683,420000,4372.0
1667961867.340117,425000,4458.0
1667961872.487237,430000,4480.0
1667961877.5678105,435000,4553.0
1667961881.2466445,440000,4603.0
1667961886.2125368,445000,4663.0
1667961891.2687776,450000,4523.0
1667961896.416658,455000,4625.0
1667961901.0424473,460000,4785.0
1667961905.005777,465000,4834.0
1667961909.9910579,470000,4882.0
1667961914.9854066,475000,4929.0
1667961919.6130607,480000,5006.0
1667961924.6316302,485000,5047.0
1667961929.3373253,490000,5141.0
1667961932.9476116,495000,4976.0
1667961937.7418165,500000,5144.0
1667961943.046675,505000,5180.0
1667961947.9263504,510000,5309.0
1667961953.0181062,515000,5310.0
1667961957.8675542,520000,5474.0
1667961961.7633252,525000,5282.0
1667961966.9315965,530000,5396.0
1667961972.0280716,535000,5509.0
1667961976.7249906,540000,5629.0
1667961981.4590132,545000,5651.0
1667961985.2178743,550000,5721.0
1667961989.9953551,555000,5658.0
1667961994.5007477,560000,5868.0
1667961999.6158018,565000,5955.0
1667962004.4943285,570000,5879.0
1667962009.2673085,575000,5869.0
1667962012.624295,580000,6200.0
1667962017.477387,585000,6049.0
1667962022.3566978,590000,6208.0
1667962027.0190356,595000,6036.0
1667962031.8961473,600000,6310.0
1667962036.8805723,605000,6370.0
1667962040.0494099,610000,6204.0
1667962044.9531999,615000,6365.0
1667962049.561449,620000,6465.0
1667962054.3741348,625000,6387.0
1667962058.984053,630000,6525.0
1667962063.743575,635000,6579.0
1667962066.906753,640000,6650.0
1667962071.6969333,645000,6668.0
1667962076.8131268,650000,6704.0
1667962081.4060996,655000,6809.0
1667962085.7165744,660000,6830.0
1667962089.0836983,665000,6953.0
1667962093.8183434,670000,6953.0
1667962098.5513458,675000,7041.0
1667962103.3609543,680000,7231.0
1667962107.810346,685000,7121.0
1667962112.460009,690000,7170.0
1667962115.7252102,695000,7166.0
1667962120.469781,700000,7238.0
1667962125.113622,705000,7323.0
1667962129.683985,710000,7377.0
1667962134.5042303,715000,7546.0
1667962139.2517745,720000,7509.0
1667962142.508405,725000,7574.0
1667962146.9394996,730000,7583.0
1667962151.5405126,735000,7689.0
1667962155.801544,740000,7695.0
1667962160.7233622,745000,7717.0
1667962163.9264457,750000,7789.0
1667962168.6383746,755000,7890.0
1667962172.9284997,760000,7912.0
1667962177.6002195,765000,7968.0
1667962182.230091,770000,8014.0
1667962186.5837202,775000,8031.0
1667962189.7718165,780000,8013.0
1667962194.5401497,785000,8196.0
1667962198.9343631,790000,8122.0
1667962203.5775383,795000,8152.0
1667962208.1799777,800000,8294.0
1667962212.5967429,805000,8400.0
1667962216.0288064,810000,8504.0
1667962220.4812052,815000,8451.0
1667962224.9512637,820000,8500.0
1667962229.6602488,825000,8621.0
1667962234.014352,830000,8670.0
1667962238.661515,835000,8702.0
1667962242.0757065,840000,8853.0
1667962246.161984,845000,8838.0
1667962250.783926,850000,8779.0
1667962255.4191892,855000,9050.0
1667962259.7887146,860000,8965.0
1667962262.7815402,865000,8863.0
1667962267.33805,870000,9098.0
1667962272.0719666,875000,9201.0
1667962276.3465295,880000,9089.0
1667962281.0367186,885000,9227.0
1667962285.3971407,890000,9306.0
1667962288.428413,895000,9358.0
1667962293.095343,900000,9426.0
1667962297.5555446,905000,9477.0
1667962302.029087,910000,9507.0
1667962306.6436715,915000,9416.0
1667962311.136078,920000,9567.0
1667962314.3689635,925000,9685.0
1667962318.6348865,930000,9723.0
1667962323.193473,935000,9669.0
1667962327.6002464,940000,9807.0
1667962331.8795667,945000,9888.0
1667962336.6299047,950000,9969.0
1667962339.5956047,955000,9979.0
1667962343.9719207,960000,10043.0
1667962348.8377,965000,10018.0
1667962353.074117,970000,10142.0
1667962357.6914399,975000,10185.0
1667962362.5762866,980000,10244.0
1667962365.2066739,985000,10293.0
1667962369.7016828,990000,10346.0
1667962374.2733638,995000,10402.0
1667962378.3154469,1000000,10330.0
1667962383.1433282,1005000,10472.0
1667962386.4372454,1010000,10583.0
1667962390.4864762,1015000,10585.0
1667962395.2230842,1020000,10645.0
1667962399.7416422,1025000,10708.0
1667962403.9591408,1030000,10760.0
1667962408.794503,1035000,10807.0
1667962411.8399112,1040000,10855.0
1667962416.0258741,1045000,10950.0
1667962420.644095,1050000,10977.0
1667962425.237728,1055000,11061.0
1667962429.026415,1060000,10938.0
1667962433.6653814,1065000,11127.0
1667962436.9068937,1070000,11062.0
1667962440.7038796,1075000,11136.0
1667962445.4268608,1080000,11256.0
1667962450.050499,1085000,11353.0
1667962453.9180384,1090000,11470.0
1667962457.4044807,1095000,11359.0
1667962461.5374284,1100000,11420.0
1667962465.8825912,1105000,11607.0
1667962470.385401,1110000,11594.0
1667962474.7490625,1115000,11603.0
1667962479.1510773,1120000,11616.0
1667962482.1036787,1125000,11795.0
1667962486.6348805,1130000,11764.0
1667962491.0054493,1135000,11661.0
1667962495.3746529,1140000,11954.0
1667962499.9230373,1145000,11930.0
1667962503.8688784,1150000,11881.0
1667962507.1484582,1155000,12029.0
1667962512.0003781,1160000,12178.0
1667962516.0519593,1165000,12223.0
1667962520.7441752,1170000,12192.0
1667962525.3683858,1175000,12184.0
1667962529.5219305,1180000,12243.0
1667962532.7235382,1185000,12299.0
1667962536.953151,1190000,12394.0
1667962541.3534455,1195000,12382.0
1667962545.7013993,1200000,12495.0
1667962550.2233124,1205000,12577.0
1667962552.9524992,1210000,12603.0
1667962557.387381,1215000,12660.0
1667962561.8751228,1220000,12710.0
1667962565.8578403,1225000,12872.0
1667962570.4844139,1230000,12905.0
1667962575.162977,1235000,12859.0
1667962577.5473642,1240000,12896.0
1667962582.3129444,1245000,12949.0
1667962586.4099298,1250000,13011.0
1667962590.5535865,1255000,13172.0
1667962595.2878416,1260000,13072.0
1667962599.4469888,1265000,13322.0
1667962602.5723572,1270000,13251.0
1667962607.1606092,1275000,13399.0
1667962611.3842263,1280000,13340.0
1667962615.7580502,1285000,13406.0
1667962620.240922,1290000,13382.0
1667962624.572428,1295000,13483.0
1667962627.6384969,1300000,13591.0
1667962632.2944345,1305000,13620.0
1667962637.0301092,1310000,13697.0
1667962641.0617375,1315000,13713.0
1667962645.4824214,1320000,13730.0
1667962649.9210303,1325000,13828.0
1667962652.9127254,1330000,13884.0
1667962657.5833185,1335000,13850.0
1667962661.8791623,1340000,14005.0
1667962666.1495428,1345000,13994.0
1667962670.6786664,1350000,14041.0
1667962673.8924882,1355000,14250.0
1667962678.405597,1360000,14215.0
1667962682.9535573,1365000,14271.0
1667962687.8551881,1370000,14267.0
1667962692.1421092,1375000,14454.0
1667962696.4363203,1380000,14318.0
1667962700.1095567,1385000,14489.0
1667962704.0934231,1390000,14521.0
1667962708.7015371,1395000,14572.0
1667962713.5450788,1400000,14640.0
1667962717.2821965,1405000,14608.0
1667962722.037552,1410000,14725.0
1667962725.4291868,1415000,14885.0
1667962729.345237,1420000,14929.0
1667962734.103979,1425000,14825.0
1667962738.6504192,1430000,14937.0
1667962742.776087,1435000,14979.0
1667962747.4936833,1440000,15153.0
1667962751.0057151,1445000,15085.0
1667962755.288527,1450000,15276.0
1667962759.7490838,1455000,15251.0
1667962764.3062575,1460000,15308.0
1667962769.194048,1465000,15435.0
