Wall time,Step,Value
1667359958.631413,5000,-52.912967681884766
1667359962.6172724,10000,-64.04776000976562
1667359976.7008145,15000,-58.58852005004883
1667359981.078879,20000,-56.7863883972168
1667359994.819868,25000,-59.10176086425781
1667359998.568042,30000,-55.49207305908203
1667360005.0674036,35000,-62.802642822265625
1667360016.5942528,40000,-57.27313232421875
1667360023.2628558,45000,-59.76488494873047
1667360034.9826186,50000,-57.10230255126953
1667360040.6792328,55000,-58.224056243896484
1667360049.96825,60000,-58.35475158691406
1667360057.9187005,65000,-57.68367004394531
1667360067.222316,70000,-55.97494888305664
1667360077.2737472,75000,-54.245208740234375
1667360085.7446299,80000,-55.225528717041016
1667360095.3235397,85000,-54.01250076293945
1667360102.6644003,90000,-54.552513122558594
1667360112.738525,95000,-55.89726638793945
1667360121.2272024,100000,-56.53319549560547
1667360130.6225908,105000,-54.61103439331055
1667360138.9417372,110000,-54.72355651855469
1667360145.8373575,115000,-56.45667266845703
1667360156.4664583,120000,-52.05281448364258
1667360164.4126787,125000,-51.81244659423828
1667360175.3816879,130000,-53.06902313232422
1667360183.1068954,135000,-53.9964485168457
1667360193.9303894,140000,-52.84461212158203
1667360200.9503255,145000,-53.15325164794922
1667360211.5666614,150000,-51.87239456176758
1667360219.9829211,155000,-50.860626220703125
1667360229.6724238,160000,-51.37382507324219
1667360238.4129086,165000,-50.10450744628906
1667360248.60571,170000,-52.01985168457031
1667360255.8532789,175000,-52.67136001586914
1667360265.2029285,180000,-49.08739471435547
1667360273.6154952,185000,-51.434814453125
1667360283.4386137,190000,-51.275142669677734
1667360293.1741455,195000,-50.55392837524414
1667360301.1337736,200000,-48.01167678833008
1667360311.1533873,205000,-49.24664306640625
1667360319.5602417,210000,-49.73311996459961
1667360329.9360883,215000,-49.9453010559082
1667360337.8371136,220000,-49.69744873046875
1667360347.7469778,225000,-49.7426872253418
1667360355.11843,230000,-46.05364227294922
1667360365.4743247,235000,-48.001678466796875
1667360374.5366158,240000,-48.01013946533203
1667360384.2317138,245000,-48.602657318115234
1667360393.1280644,250000,-48.579490661621094
1667360403.0686796,255000,-47.62982940673828
1667360410.891444,260000,-49.022918701171875
1667360420.3623219,265000,-45.90364456176758
1667360429.2998924,270000,-46.775028228759766
1667360438.6830797,275000,-44.6490364074707
1667360448.5791464,280000,-45.20119857788086
1667360457.6168852,285000,-45.74653625488281
1667360465.4099927,290000,-45.35792922973633
1667360474.8574326,295000,-45.30250549316406
1667360483.8198571,300000,-44.60370635986328
1667360493.2947807,305000,-46.010902404785156
1667360502.2485352,310000,-44.126609802246094
1667360510.3743196,315000,-44.1237907409668
1667360519.4004018,320000,-44.15473937988281
1667360529.083288,325000,-43.26492691040039
1667360537.898709,330000,-43.17231369018555
1667360546.6827054,335000,-43.547420501708984
1667360554.9517422,340000,-42.2203483581543
1667360563.2885666,345000,-42.29941177368164
1667360571.5328193,350000,-41.60307693481445
