Wall time,Step,Value
1667359935.0132432,5000,-54.30902862548828
1667359937.7089093,10000,-65.02692413330078
1667359951.6559231,15000,-62.18794631958008
1667359956.5035908,20000,-59.68866729736328
1667359969.0675294,25000,-66.57759094238281
1667359973.5681484,30000,-54.68560791015625
1667359979.0482888,35000,-60.35114288330078
1667359991.9602692,40000,-55.6584358215332
1667359997.1891859,45000,-59.686485290527344
1667360010.2544534,50000,-57.05647659301758
1667360015.9350266,55000,-56.6365852355957
1667360027.3010285,60000,-56.77602767944336
1667360033.3315482,65000,-56.71198654174805
1667360044.615252,70000,-58.86896514892578
1667360051.4027991,75000,-52.524776458740234
1667360061.0448442,80000,-54.835514068603516
1667360069.2152135,85000,-53.23090362548828
1667360076.7446887,90000,-55.53596496582031
1667360085.8680267,95000,-52.46677017211914
1667360094.4128475,100000,-53.74162292480469
1667360103.6218097,105000,-52.707576751708984
1667360111.6434605,110000,-53.722869873046875
1667360119.8220668,115000,-50.730796813964844
1667360128.459819,120000,-53.19184112548828
1667360137.6531863,125000,-52.39073181152344
1667360146.2411351,130000,-53.72439193725586
1667360155.0516417,135000,-50.63325500488281
1667360164.8574655,140000,-50.998958587646484
1667360171.5403423,145000,-49.827301025390625
1667360180.8622272,150000,-51.129310607910156
1667360189.2174249,155000,-48.668033599853516
1667360198.5822685,160000,-50.25593948364258
1667360207.6566174,165000,-48.954185485839844
1667360215.7368107,170000,-49.423954010009766
1667360224.530637,175000,-45.773460388183594
1667360232.457746,180000,-48.9498405456543
1667360241.75479,185000,-49.517578125
1667360250.1664867,190000,-46.96007537841797
1667360258.9220378,195000,-48.37617111206055
1667360267.7376542,200000,-44.77301788330078
1667360275.0964634,205000,-45.67824935913086
1667360283.5495954,210000,-45.957706451416016
1667360292.6208577,215000,-45.6724739074707
1667360301.0579438,220000,-46.72882080078125
1667360308.6775336,225000,-47.00740432739258
1667360316.5160592,230000,-45.15248489379883
1667360324.8453677,235000,-44.07748031616211
1667360334.3770807,240000,-43.152801513671875
1667360342.826278,245000,-44.41938018798828
1667360351.960477,250000,-42.69769287109375
1667360360.0383883,255000,-41.99081802368164
1667360368.382529,260000,-42.86891555786133
1667360377.1068296,265000,-42.836055755615234
1667360385.4188251,270000,-40.95920944213867
1667360393.6497107,275000,-43.75566482543945
1667360402.5995343,280000,-42.72138977050781
1667360410.3953323,285000,-43.036476135253906
1667360417.977155,290000,-41.97096252441406
1667360425.9564557,295000,-41.40206527709961
1667360435.0504358,300000,-40.994606018066406
1667360443.4698482,305000,-40.34769058227539
1667360452.1394274,310000,-39.707096099853516
1667360460.5824814,315000,-38.926429748535156
1667360468.449545,320000,-39.90354919433594
1667360477.7096052,325000,-38.1168327331543
1667360485.9996846,330000,-38.425113677978516
1667360494.30781,335000,-39.55949020385742
1667360501.98651,340000,-40.70087432861328
1667360508.5899599,345000,-39.61415481567383
1667360517.7907197,350000,-39.14019012451172
1667360525.0438313,355000,-38.03984069824219
1667360533.854611,360000,-37.589839935302734
1667360542.4088223,365000,-37.729225158691406
1667360550.7731686,370000,-37.7596435546875
1667360557.7884786,375000,-38.23973083496094
1667360566.1251934,380000,-37.71117401123047
1667360574.245903,385000,-35.102054595947266
1667360582.8127372,390000,-36.58511734008789
1667360590.6483982,395000,-36.054534912109375
1667360599.4016337,400000,-36.12043762207031
1667360605.7643802,405000,-36.04443359375
1667360614.341437,410000,-35.46826934814453
1667360622.1122718,415000,-35.04754638671875
1667360630.3416243,420000,-36.01371765136719
1667360637.9299166,425000,-34.44805908203125
1667360645.785658,430000,-35.18080520629883
1667360653.3592691,435000,-33.28044891357422
1667360661.3841245,440000,-33.69670867919922
1667360669.1203873,445000,-32.44941711425781
1667360677.4526687,450000,-31.76927947998047
1667360685.2393782,455000,-31.681896209716797
1667360692.3971481,460000,-32.333560943603516
1667360700.8847377,465000,-31.86283302307129
1667360709.2661455,470000,-32.95691680908203
1667360716.8484674,475000,-31.423933029174805
1667360725.1304548,480000,-30.204519271850586
1667360733.2677176,485000,-31.361961364746094
1667360740.0049906,490000,-29.02132797241211
1667360747.7183447,495000,-30.862773895263672
1667360755.9518986,500000,-30.953899383544922
1667360764.0019953,505000,-30.688175201416016
1667360772.6013162,510000,-30.45687484741211
1667360779.5491009,515000,-29.73929214477539
1667360786.4441156,520000,-28.379966735839844
1667360793.989012,525000,-28.269269943237305
1667360802.0925636,530000,-28.452909469604492
1667360809.4068625,535000,-29.147687911987305
1667360816.9386065,540000,-28.24039649963379
1667360823.7415733,545000,-28.350746154785156
1667360831.1437366,550000,-28.510356903076172
1667360839.6042747,555000,-28.69919204711914
1667360846.8256075,560000,-29.298988342285156
1667360853.97147,565000,-27.81524658203125
1667360862.0847352,570000,-28.417871475219727
1667360867.5779297,575000,-26.894763946533203
1667360875.7104461,580000,-26.72524070739746
1667360882.5541396,585000,-26.933813095092773
1667360890.9588778,590000,-26.398962020874023
1667360897.978336,595000,-25.403837203979492
1667360904.4144824,600000,-26.772409439086914
1667360912.1660557,605000,-27.215972900390625
1667360919.4589725,610000,-25.853981018066406
1667360927.6068769,615000,-25.91653823852539
1667360933.0406208,620000,-25.97625160217285
1667360940.7651343,625000,-24.653669357299805
1667360946.9427207,630000,-24.634788513183594
1667360954.1178315,635000,-25.272947311401367
1667360961.748768,640000,-25.971328735351562
1667360967.1946747,645000,-25.58953857421875
1667360975.836316,650000,-26.75257110595703
1667360981.8919196,655000,-23.563016891479492
1667360987.3399494,660000,-25.14202117919922
1667360994.569316,665000,-23.687911987304688
1667361000.8980534,670000,-24.060266494750977
1667361007.9351535,675000,-23.489110946655273
1667361014.869064,680000,-22.128190994262695
1667361020.3266845,685000,-22.68781089782715
1667361027.6479514,690000,-23.10350227355957
1667361034.2921739,695000,-24.040813446044922
1667361040.1885722,700000,-23.589649200439453
1667361047.6338487,705000,-23.746753692626953
1667361054.4193242,710000,-23.914438247680664
1667361059.3561566,715000,-24.232763290405273
1667361066.4782584,720000,-22.718921661376953
1667361073.0008118,725000,-22.185272216796875
1667361078.833683,730000,-22.875871658325195
1667361085.930788,735000,-22.729385375976562
1667361091.7570035,740000,-21.17300796508789
1667361097.3778932,745000,-22.531198501586914
1667361104.8330345,750000,-21.441747665405273
1667361110.4808593,755000,-22.715940475463867
1667361117.2799141,760000,-22.63260269165039
1667361123.4983737,765000,-22.56952667236328
1667361128.6677432,770000,-20.822261810302734
1667361135.0416243,775000,-21.729982376098633
1667361141.7107282,780000,-21.826194763183594
1667361147.904514,785000,-24.300857543945312
1667361154.6100602,790000,-23.763031005859375
