Wall time,Step,Value
1665934679.6019084,5000,-66.61575317382812
1665934684.3378696,10000,-74.9958267211914
1665934689.119347,15000,-76.40715026855469
1665934695.765678,20000,-82.36347198486328
1665934705.8651526,25000,-72.20730590820312
1665934715.0863647,30000,-71.75846862792969
1665934723.3322945,35000,-71.71967315673828
1665934730.2440226,40000,-73.8873062133789
1665934739.510591,45000,-74.0453109741211
1665934755.7743528,50000,-71.1915283203125
1665934764.235945,55000,-69.18031311035156
1665934771.8087277,60000,-69.73395538330078
1665934780.602469,65000,-71.04330444335938
1665934787.578222,70000,-73.8180160522461
1665934801.0896978,75000,-73.51158142089844
1665934811.9171257,80000,-66.96426391601562
1665934815.3340437,85000,-70.93638610839844
1665934823.2032924,90000,-69.9955062866211
1665934838.6835823,95000,-68.10416412353516
1665934847.1398003,100000,-66.44581604003906
1665934854.2871635,105000,-70.03634643554688
1665934861.9525526,110000,-67.77203369140625
1665934870.785586,115000,-69.69813537597656
1665934884.9171205,120000,-66.83926391601562
1665934892.1186447,125000,-65.89834594726562
1665934900.693184,130000,-68.29341125488281
1665934913.0207932,135000,-67.73858642578125
1665934922.0669143,140000,-64.59208679199219
1665934932.4635723,145000,-64.7326889038086
1665934942.4953618,150000,-66.58876037597656
1665934950.194096,155000,-68.08544158935547
1665934964.0601,160000,-64.49896240234375
1665934970.861551,165000,-64.31548309326172
1665934980.61443,170000,-65.57019805908203
1665934991.7824376,175000,-66.74627685546875
1665935002.2016013,180000,-62.564552307128906
1665935012.3212855,185000,-64.06939697265625
1665935022.3979626,190000,-64.06241607666016
1665935030.3877008,195000,-64.6439208984375
1665935042.8390322,200000,-65.82971954345703
1665935052.5031276,205000,-64.17121124267578
1665935060.3585632,210000,-64.3001708984375
1665935072.0349016,215000,-65.44603729248047
1665935082.1495652,220000,-61.62639617919922
1665935093.1243837,225000,-63.21506881713867
1665935100.87312,230000,-64.00149536132812
1665935112.6976795,235000,-62.67165756225586
1665935123.0472515,240000,-60.29706573486328
1665935133.3712094,245000,-62.40814208984375
1665935143.0094366,250000,-60.66143035888672
1665935155.5793333,255000,-62.01787185668945
1665935164.7882419,260000,-60.790855407714844
1665935174.2873847,265000,-60.73831558227539
1665935185.837712,270000,-59.538028717041016
1665935194.5587835,275000,-59.7057991027832
1665935204.7628267,280000,-60.19098663330078
1665935214.2648773,285000,-61.53532028198242
1665935225.0981123,290000,-59.480384826660156
1665935235.598843,295000,-59.90699768066406
1665935245.995621,300000,-61.11582565307617
1665935257.0172257,305000,-60.691871643066406
1665935272.583834,310000,-57.381675720214844
1665935283.577729,315000,-58.7176513671875
1665935297.6289299,320000,-58.889060974121094
1665935310.939571,325000,-57.24739074707031
1665935324.8557916,330000,-58.746681213378906
1665935337.482706,335000,-57.30654525756836
1665935350.5686927,340000,-56.64693069458008
1665935363.5364645,345000,-58.035865783691406
1665935377.202478,350000,-56.6869010925293
1665935391.2489202,355000,-57.3192253112793
1665935403.8066425,360000,-56.76799011230469
1665935416.5234573,365000,-55.211769104003906
1665935429.0786183,370000,-57.40636444091797
1665935443.3676693,375000,-55.2158317565918
1665935456.9475412,380000,-56.58952331542969
1665935469.4880676,385000,-55.14423370361328
1665935481.9836676,390000,-56.14039611816406
1665935496.524985,395000,-54.9205436706543
1665935508.2323084,400000,-54.594051361083984
1665935521.1220508,405000,-55.13142776489258
1665935536.145645,410000,-54.999244689941406
1665935550.052588,415000,-55.8857536315918
1665935561.010063,420000,-53.541255950927734
1665935573.2288933,425000,-53.5963134765625
1665935588.0966625,430000,-55.38296890258789
1665935600.560022,435000,-52.28876876831055
1665935611.8168142,440000,-52.79094696044922
1665935625.6298957,445000,-52.46698760986328
1665935637.3368385,450000,-52.21829605102539
1665935651.275039,455000,-54.09671401977539
1665935663.8646092,460000,-53.013431549072266
1665935677.1162457,465000,-51.70686340332031
1665935691.437718,470000,-50.593074798583984
1665935702.9414947,475000,-50.59900665283203
1665935715.7564416,480000,-51.58005142211914
1665935730.6928422,485000,-52.865943908691406
1665935742.9256885,490000,-50.20016098022461
1665935757.3060462,495000,-51.93134689331055
1665935769.6384795,500000,-50.0438346862793
1665935781.850399,505000,-50.314208984375
1665935794.755406,510000,-51.08792495727539
1665935808.8569307,515000,-49.826934814453125
1665935821.8350856,520000,-49.11477279663086
1665935834.4151115,525000,-49.44599533081055
1665935846.6897244,530000,-50.63565444946289
1665935861.1342595,535000,-50.24996566772461
1665935872.9874291,540000,-49.43174743652344
1665935884.9673645,545000,-49.10117721557617
1665935900.5695198,550000,-48.7762451171875
1665935913.2624967,555000,-48.178768157958984
1665935925.9173422,560000,-47.244136810302734
1665935937.2065098,565000,-49.18815231323242
1665935951.6494865,570000,-49.0963134765625
1665935964.9619908,575000,-47.153934478759766
1665935977.5494573,580000,-49.290225982666016
1665935991.168763,585000,-47.637184143066406
1665936001.6458125,590000,-50.94550704956055
1665936016.4085095,595000,-48.26738739013672
1665936026.6802235,600000,-48.342247009277344
1665936038.345243,605000,-49.397804260253906
1665936051.4616868,610000,-47.18406677246094
1665936065.487248,615000,-48.293487548828125
1665936076.7900546,620000,-48.319244384765625
1665936090.999322,625000,-47.28759002685547
1665936103.1248362,630000,-47.54484939575195
1665936113.9658954,635000,-49.29349899291992
1665936126.0590162,640000,-48.74633026123047
1665936138.151767,645000,-46.815223693847656
1665936152.2789207,650000,-46.97856140136719
1665936164.9664772,655000,-46.700408935546875
1665936176.210962,660000,-47.23122024536133
1665936190.6564293,665000,-47.520484924316406
1665936203.3654642,670000,-45.593238830566406
1665936213.398656,675000,-45.513587951660156
1665936226.4939597,680000,-45.856475830078125
1665936239.0993898,685000,-46.94287109375
1665936252.8541582,690000,-45.79744338989258
1665936264.2969272,695000,-44.91122055053711
1665936273.7334883,700000,-45.47616958618164
1665936285.87552,705000,-45.325592041015625
1665936300.7996228,710000,-45.86574935913086
1665936313.2583306,715000,-43.82484817504883
1665936324.2072723,720000,-44.93326950073242
1665936337.2352157,725000,-46.048397064208984
1665936349.638113,730000,-44.56982421875
1665936360.9137244,735000,-43.35718536376953
1665936374.048403,740000,-44.419708251953125
1665936386.2970045,745000,-44.20856857299805
1665936398.7808611,750000,-44.121158599853516
1665936412.6798089,755000,-44.178565979003906
1665936423.6815357,760000,-44.879764556884766
1665936433.3975773,765000,-44.13691711425781
1665936448.76102,770000,-42.53751754760742
1665936460.704885,775000,-43.702545166015625
1665936472.7437139,780000,-43.587364196777344
1665936483.9039857,785000,-43.087772369384766
1665936494.593838,790000,-42.98976135253906
1665936509.1259675,795000,-43.18702697753906
1665936521.3798435,800000,-43.215309143066406
1665936532.081433,805000,-42.56554412841797
1665936544.3210175,810000,-42.58567810058594
1665936555.3520966,815000,-42.606319427490234
1665936569.3262422,820000,-43.08696365356445
1665936580.9999413,825000,-41.18828582763672
1665936593.9742622,830000,-41.796146392822266
1665936603.048735,835000,-41.321434020996094
1665936615.7688978,840000,-41.5690803527832
1665936626.4349418,845000,-41.464263916015625
1665936638.1257434,850000,-41.37144470214844
1665936652.2077467,855000,-43.71579360961914
1665936662.4475996,860000,-41.319976806640625
1665936673.6080565,865000,-40.855140686035156
1665936683.9978166,870000,-40.55827331542969
1665936697.0378761,875000,-39.700721740722656
1665936707.8651996,880000,-39.348358154296875
1665936720.048107,885000,-41.29463577270508
1665936731.5319917,890000,-39.97978973388672
1665936741.625952,895000,-41.64592742919922
1665936755.0454538,900000,-40.09065628051758
1665936765.0155625,905000,-40.016441345214844
1665936776.4379356,910000,-39.20153045654297
1665936789.1133406,915000,-40.489925384521484
1665936799.8020134,920000,-39.9841423034668
1665936813.1860468,925000,-39.348636627197266
1665936822.3223443,930000,-40.01685333251953
1665936834.9393413,935000,-40.61054992675781
1665936844.742759,940000,-39.072818756103516
1665936854.6549194,945000,-39.53847122192383
1665936864.2520914,950000,-38.877593994140625
1665936877.4841225,955000,-39.856483459472656
1665936889.2384145,960000,-40.29454040527344
1665936898.812021,965000,-39.073638916015625
1665936907.255125,970000,-40.98866271972656
1665936921.344078,975000,-38.57283020019531
1665936929.8224478,980000,-38.466758728027344
1665936938.9491203,985000,-39.02125549316406
1665936954.388959,990000,-38.41986846923828
1665936964.0312483,995000,-36.853214263916016
1665936973.215433,1000000,-37.54591751098633
1665936985.5521557,1005000,-38.66991424560547
1665936997.4068997,1010000,-37.878658294677734
1665937009.9902928,1015000,-38.46029281616211
1665937018.4734879,1020000,-38.341880798339844
1665937030.450755,1025000,-36.76211929321289
1665937040.8288472,1030000,-37.89605712890625
1665937050.607352,1035000,-36.14866638183594
1665937060.615634,1040000,-38.640262603759766
1665937074.8588452,1045000,-37.03654479980469
1665937084.7294745,1050000,-37.92012405395508
1665937094.208471,1055000,-37.632259368896484
1665937105.5268211,1060000,-36.341026306152344
1665937116.6664815,1065000,-36.7540397644043
1665937126.3428648,1070000,-37.232425689697266
1665937139.2306542,1075000,-35.46666717529297
1665937150.4822795,1080000,-35.38230514526367
1665937159.72056,1085000,-36.021053314208984
1665937168.644225,1090000,-35.635467529296875
1665937182.0132113,1095000,-34.631595611572266
1665937194.0229514,1100000,-36.86387634277344
1665937201.6856987,1105000,-35.671234130859375
1665937213.3980658,1110000,-37.131805419921875
1665937223.0697162,1115000,-35.9583625793457
1665937234.8604648,1120000,-35.40473937988281
1665937243.3007681,1125000,-35.90357208251953
1665937255.2789562,1130000,-35.5703239440918
1665937266.3488214,1135000,-34.695335388183594
1665937273.5693686,1140000,-35.61084747314453
1665937284.4430387,1145000,-34.84270477294922
1665937296.8389628,1150000,-34.866493225097656
1665937306.4959247,1155000,-34.09880065917969
1665937317.2335503,1160000,-34.01236343383789
1665937325.1819565,1165000,-34.9141845703125
1665937334.046839,1170000,-35.9519157409668
1665937348.1092443,1175000,-34.96858215332031
1665937355.6616366,1180000,-33.411346435546875
1665937364.9507747,1185000,-34.948429107666016
1665937379.5474317,1190000,-34.256309509277344
1665937385.310259,1195000,-35.189208984375
1665937395.4165506,1200000,-33.59954833984375
1665937404.1744995,1205000,-35.966304779052734
1665937418.0314164,1210000,-33.53861618041992
1665937426.1640563,1215000,-35.20444869995117
1665937435.1669676,1220000,-34.3419303894043
1665937447.0998187,1225000,-33.55498123168945
1665937456.330289,1230000,-35.423282623291016
1665937466.4601336,1235000,-34.52863311767578
1665937477.2961051,1240000,-33.5200080871582
1665937487.1436133,1245000,-34.109127044677734
1665937493.9442315,1250000,-33.40604019165039
1665937504.6317234,1255000,-33.06903076171875
1665937517.0207784,1260000,-33.1214485168457
1665937526.4541314,1265000,-34.10838317871094
1665937536.3179028,1270000,-33.73228073120117
1665937546.5456681,1275000,-33.08238983154297
