Wall time,Step,Value
1667610673.777708,30000,517.0
1667610677.5755653,35000,446.0
1667610719.8373544,60000,716.0
1667610752.1211774,75000,814.0
1667610758.2028723,80000,1053.0
1667610787.580941,95000,1222.0
1667610811.8625257,105000,1332.0
1667610847.6995275,125000,1539.0
1667610957.7561078,185000,2090.0
1667610994.0005171,205000,2356.0
1667611015.1978781,215000,2427.0
1667611032.5437014,225000,2485.0
1667611042.0399141,230000,2746.0
1667611060.910285,240000,2485.0
1667611122.1992173,270000,3104.0
1667611129.2572863,275000,3274.0
1667611137.8311708,280000,3075.0
1667611148.391629,285000,3396.0
1667611158.2424955,290000,3225.0
1667611237.3591728,330000,3444.0
1667611264.427218,345000,3645.0
1667611294.8026075,360000,4211.0
1667611306.1489232,365000,4019.0
1667611316.8706236,370000,3916.0
1667611325.5724168,375000,4029.0
1667611374.1475265,400000,4333.0
1667611458.1857042,440000,4837.0
1667611464.7532864,445000,5386.0
1667611526.178058,475000,5077.0
1667611606.2118974,515000,5627.0
1667611635.63057,530000,5801.0
1667611644.4133961,535000,5925.0
1667611714.1018393,570000,8568.0
1667611742.4191828,585000,11958.0
1667611759.286914,595000,6425.0
1667611839.5456672,635000,7252.0
1667611869.895256,650000,6957.0
1667611878.0272596,655000,7338.0
1667611970.4448771,700000,7464.0
1667611988.7851434,710000,7666.0
1667612001.5632598,715000,8004.0
1667612011.8185098,720000,7773.0
1667612079.2690444,755000,8147.0
1667612129.15299,780000,7701.0
1667612149.3973832,790000,8301.0
1667612159.5137417,795000,8474.0
1667612201.0336068,815000,8809.0
1667612251.5252655,840000,8924.0
1667612260.307637,845000,9052.0
1667612291.9755726,860000,9393.0
1667612354.8501158,890000,9545.0
1667612363.4486794,895000,9511.0
1667612384.6564534,905000,10101.0
1667612414.0792346,920000,9762.0
1667612435.369984,930000,9291.0
1667612445.536493,935000,10134.0
1667612465.430209,945000,9975.0
1667612483.8965092,955000,10272.0
1667612495.7970195,960000,10673.0
1667612567.5655205,995000,11042.0
1667612646.847467,1035000,11189.0
1667612660.0432458,1040000,11238.0
1667612668.0939445,1045000,11014.0
1667612709.0185416,1065000,11802.0
1667612812.567409,1115000,12298.0
1667612823.789671,1120000,12049.0
1667612843.1359904,1130000,11900.0
1667612884.0182707,1150000,12335.0
1667612915.930175,1165000,12436.0
1667612925.2451546,1170000,12598.0
1667612934.3729708,1175000,12721.0
1667612965.7303157,1190000,13147.0
1667613086.9241219,1250000,13306.0
1667613147.9552495,1280000,13789.0
1667613176.441615,1295000,13935.0
1667613197.668471,1305000,13507.0
1667613206.8323174,1310000,21132.0
1667613227.8240685,1320000,14228.0
1667613267.0021427,1340000,14101.0
1667613310.5432866,1360000,14708.0
1667613329.0420308,1370000,14405.0
1667613381.7826524,1395000,15326.0
1667613522.4162343,1465000,15595.0
1667613570.8651323,1490000,16045.0
1667613582.1945565,1495000,15999.0
1667613622.6438866,1515000,16387.0
1667613630.7923799,1520000,23351.0
1667613671.8897676,1540000,16367.0
1667613681.9992442,1545000,16401.0
1667613701.9763885,1555000,17039.0
1667613731.9191875,1570000,16829.0
1667613783.1482189,1595000,17127.0
1667613791.6337504,1600000,17218.0
1667613802.2912376,1605000,17576.0
1667613852.2916303,1630000,17703.0
1667613863.4261045,1635000,17319.0
1667613872.0302851,1640000,17465.0
1667613901.8187149,1655000,17771.0
1667613992.013172,1700000,18320.0
1667614012.1929014,1710000,18279.0
1667614072.5181289,1740000,18753.0
1667614130.333671,1770000,18590.0
1667614140.5287507,1775000,19162.0
1667614198.9014108,1805000,19458.0
1667614228.8883364,1820000,19102.0
1667614266.5323434,1840000,20166.0
1667614306.8179545,1860000,20219.0
1667614325.7052288,1870000,20643.0
1667614363.804329,1890000,20380.0
1667614373.6685517,1895000,20250.0
1667614383.6177135,1900000,20143.0
1667614402.1254804,1910000,20648.0
1667614450.7733657,1935000,21386.0
1667614495.417415,1960000,21001.0
1667614507.8297465,1965000,21278.0
1667614516.2387345,1970000,28278.0
1667614651.884535,2045000,21798.0
1667614716.9003525,2080000,22631.0
1667614771.721095,2110000,22441.0
1667614780.5965717,2115000,22642.0
1667614798.7595632,2125000,22843.0
1667614818.912736,2135000,22793.0
1667614854.6681163,2155000,23045.0
1667614937.5284836,2200000,30791.0
1667614955.1005893,2210000,24491.0
1667614964.2177794,2215000,24114.0
1667614992.7170732,2230000,24237.0
1667615046.2738473,2260000,24583.0
1667615117.9947555,2300000,24923.0
1667615126.3229196,2305000,25099.0
1667615152.9711256,2320000,25259.0
1667615161.3646967,2325000,24840.0
1667615242.1849298,2370000,25857.0
1667615250.0220993,2375000,25291.0
1667615343.1673753,2430000,25906.0
1667615369.3565686,2445000,26432.0
1667615376.4766166,2450000,26384.0
1667615395.673839,2460000,26675.0
1667615409.5180583,2470000,26325.0
1667615525.600854,2540000,27527.0
1667615564.9702628,2565000,27323.0
1667615582.6640282,2575000,27420.0
1667615606.0556679,2590000,27649.0
1667615621.5069766,2600000,28323.0
1667615659.0405226,2625000,27982.0
1667615667.5666869,2630000,28567.0
1667615714.4777944,2660000,28451.0
1667615729.5830672,2670000,28981.0
1667615738.6743438,2675000,28540.0
1667615751.887294,2685000,29257.0
1667615760.092766,2690000,29246.0
1667615782.8311336,2705000,29332.0
1667615797.8793635,2715000,29157.0
1667615836.5588276,2740000,29302.0
1667615843.5693688,2745000,29196.0
1667615910.326987,2790000,29682.0
1667615927.748622,2800000,30046.0
1667615955.7608118,2820000,30579.0
1667615962.434611,2825000,30253.0
1667615970.337388,2830000,30746.0
1667615998.644031,2850000,37926.0
1667616029.757605,2870000,31181.0
