Wall time,Step,Value
1667636371.657682,30000,-125.70435333251953
1667636377.4763746,35000,-130.9869384765625
1667636441.2189562,60000,-129.30943298339844
1667636491.713516,75000,-125.89373016357422
1667636501.471883,80000,-128.96229553222656
1667636547.071371,95000,-126.18518829345703
1667636571.8000126,105000,-124.68443298339844
1667636631.244321,125000,-131.5002899169922
1667636814.2994676,185000,-127.74853515625
1667636872.606919,205000,-125.96085357666016
1667636912.1141875,215000,-124.17240142822266
1667636934.4090595,225000,-129.877685546875
1667636954.3120685,230000,-128.87843322753906
1667636983.6402698,240000,-122.88033294677734
1667637081.6150992,270000,-125.3939437866211
1667637091.8926606,275000,-117.0789566040039
1667637104.0215957,280000,-122.80764770507812
1667637125.2022517,285000,-119.28813934326172
1667637142.3141115,290000,-116.78555297851562
1667637262.3772695,330000,-117.72611999511719
1667637310.6183503,345000,-122.52236938476562
1667637357.012896,360000,-114.10436248779297
1667637373.5878036,365000,-122.74882507324219
1667637390.588331,370000,-122.247802734375
1667637406.455782,375000,-119.89456939697266
1667637484.5298882,400000,-120.88525390625
1667637610.379885,440000,-114.92465209960938
1667637626.3640885,445000,-116.36540985107422
1667637716.757774,475000,-114.76013946533203
1667637847.8340716,515000,-120.74484252929688
1667637889.544589,530000,-121.42642211914062
1667637910.594905,535000,-113.79493713378906
1667638023.8205788,570000,-117.41413879394531
1667638065.0374434,585000,-112.70701599121094
1667638098.8431122,595000,-114.30672454833984
1667638221.4201534,635000,-115.62054443359375
1667638269.3527822,650000,-105.20303344726562
1667638284.9463742,655000,-109.56800079345703
1667638425.925425,700000,-118.2783203125
1667638459.0981913,710000,-111.1161880493164
1667638473.208144,715000,-114.85701751708984
1667638488.8133254,720000,-113.03273010253906
1667638592.8657887,755000,-106.03177642822266
1667638670.004943,780000,-106.17471313476562
1667638703.2459574,790000,-106.9884033203125
1667638717.232234,795000,-108.90438079833984
1667638772.2914507,815000,-113.30752563476562
1667638844.8197217,840000,-107.51599884033203
1667638861.769209,845000,-111.05120086669922
1667638906.128669,860000,-110.77049255371094
1667638992.0938025,890000,-103.7525863647461
1667639008.1527967,895000,-107.52002716064453
1667639038.121374,905000,-105.8118667602539
1667639082.3448856,920000,-110.48308563232422
1667639113.4284713,930000,-104.88782501220703
1667639127.8639207,935000,-105.09073638916016
1667639159.578972,945000,-103.48345947265625
1667639187.4708207,955000,-107.7403793334961
1667639204.4485016,960000,-106.54844665527344
1667639308.7154577,995000,-101.00038146972656
1667639427.893872,1035000,-108.66191864013672
1667639441.5384145,1040000,-98.75386810302734
1667639452.6442924,1045000,-103.004150390625
1667639510.2151296,1065000,-102.64545440673828
1667639660.6133928,1115000,-94.62176513671875
1667639675.3215759,1120000,-99.486572265625
1667639706.6426492,1130000,-103.35457611083984
1667639762.638608,1150000,-103.54336547851562
1667639803.322069,1165000,-98.1526107788086
1667639817.772857,1170000,-97.72525787353516
1667639829.4625401,1175000,-100.07539367675781
1667639875.724494,1190000,-105.0916976928711
1667640039.291858,1250000,-105.08604431152344
1667640118.0988953,1280000,-94.9599609375
1667640162.752532,1295000,-98.88042449951172
1667640188.834096,1305000,-97.85749053955078
1667640201.1930397,1310000,-91.80329132080078
1667640229.2444549,1320000,-92.00152587890625
1667640281.6020951,1340000,-96.77166748046875
1667640332.9464908,1360000,-92.54803466796875
1667640363.558805,1370000,-93.83795166015625
1667640428.3466742,1395000,-92.21988677978516
1667640614.6595728,1465000,-103.75606536865234
1667640678.876623,1490000,-87.91201782226562
1667640691.5695124,1495000,-88.40740966796875
1667640743.839877,1515000,-96.15164947509766
1667640755.1885889,1520000,-95.72069549560547
1667640806.2732325,1540000,-89.91726684570312
1667640817.3783212,1545000,-89.77718353271484
1667640842.0356731,1555000,-90.41301727294922
1667640876.0185158,1570000,-92.01885223388672
1667640933.8981957,1595000,-100.8680191040039
1667640949.7589262,1600000,-90.99275970458984
1667640958.6957192,1605000,-88.63981628417969
1667641018.3967159,1630000,-91.9368667602539
1667641026.7642417,1635000,-91.38121795654297
1667641036.6862564,1640000,-84.92400360107422
1667641074.3396866,1655000,-86.96267700195312
1667641174.0150034,1700000,-86.8952407836914
1667641197.711516,1710000,-91.18280792236328
1667641262.540333,1740000,-84.3829574584961
1667641334.4865193,1770000,-85.92622375488281
1667641346.1330311,1775000,-95.47407531738281
1667641408.9413173,1805000,-81.51746368408203
1667641437.8415797,1820000,-86.41995239257812
1667641479.5450044,1840000,-82.16382598876953
1667641522.0621006,1860000,-79.99866485595703
1667641540.2637799,1870000,-83.0964584350586
1667641584.3123016,1890000,-81.60487365722656
1667641594.163024,1895000,-92.58169555664062
1667641600.7016242,1900000,-80.19046783447266
1667641622.7972379,1910000,-83.25894927978516
1667641673.4655879,1935000,-94.43344116210938
1667641720.626211,1960000,-80.68842315673828
1667641730.1379974,1965000,-77.84062957763672
1667641738.6943135,1970000,-80.32796478271484
1667641880.1960316,2045000,-80.77911376953125
1667641948.1729584,2080000,-91.55655670166016
1667642005.5513666,2110000,-97.17169952392578
1667642016.8480923,2115000,-80.13539123535156
1667642038.0806057,2125000,-78.45177459716797
1667642054.843505,2135000,-89.44233703613281
1667642099.6233826,2155000,-82.47633361816406
1667642188.0592036,2200000,-81.07670593261719
1667642212.7870536,2210000,-82.1160659790039
1667642219.2546847,2215000,-85.68121337890625
1667642247.824548,2230000,-77.12926483154297
1667642306.4950805,2260000,-78.07005310058594
1667642383.7757814,2300000,-78.93634033203125
1667642393.6682458,2305000,-91.18122100830078
1667642416.2951152,2320000,-77.7876968383789
1667642425.1183226,2325000,-74.33180236816406
1667642504.3463993,2370000,-76.9952163696289
1667642516.9102552,2375000,-78.76895141601562
1667642609.4191601,2430000,-79.09932708740234
1667642634.1826832,2445000,-77.9260482788086
1667642643.0130126,2450000,-74.92171478271484
1667642659.5134084,2460000,-78.78663635253906
1667642674.9854891,2470000,-91.21430206298828
1667642786.4719195,2540000,-73.59386444091797
1667642824.9107769,2565000,-78.4549560546875
1667642843.2793994,2575000,-74.6453628540039
1667642867.8832064,2590000,-74.46195983886719
1667642881.040069,2600000,-75.0356216430664
1667642922.3898776,2625000,-75.25934600830078
1667642931.692709,2630000,-76.02021026611328
1667642981.5522673,2660000,-75.19882202148438
1667642995.8237565,2670000,-77.19039154052734
1667643006.5172875,2675000,-76.5107650756836
1667643022.772882,2685000,-79.91580963134766
1667643032.6129797,2690000,-90.17581939697266
1667643055.5083835,2705000,-89.89618682861328
1667643073.866325,2715000,-75.49107360839844
1667643110.1657794,2740000,-74.07440185546875
1667643120.323991,2745000,-75.3722152709961
1667643191.6627946,2790000,-75.19488525390625
1667643209.4668782,2800000,-87.01377868652344
1667643235.2820284,2820000,-72.78097534179688
1667643246.5078638,2825000,-89.32921600341797
1667643255.6467788,2830000,-75.17681884765625
1667643285.5878408,2850000,-76.8751220703125
1667643315.9778626,2870000,-87.0695571899414
1667643323.5774126,2875000,-72.69871520996094
1667643346.7288177,2890000,-89.50068664550781
1667643360.7549126,2900000,-74.17381286621094
1667643368.7823987,2905000,-76.82361602783203
1667643372.4599252,2910000,-76.47234344482422
1667643382.571948,2915000,-72.5936508178711
1667643388.5787191,2920000,-74.59546661376953
1667643399.9936154,2925000,-93.02835845947266
1667643412.4064858,2935000,-76.53348541259766
1667643416.8053477,2940000,-75.67869567871094
1667643454.301659,2965000,-76.0333023071289
1667643459.6837094,2970000,-76.86815643310547
1667643488.0159888,2990000,-74.83395385742188
1667643509.3998356,3005000,-91.62698364257812
1667643521.8840568,3015000,-75.27890014648438
1667643561.7290058,3045000,-76.76390838623047
1667643576.2054071,3055000,-72.54071807861328
1667643612.5115395,3080000,-77.30387878417969
1667643635.6240396,3100000,-73.79202270507812
1667643642.8660388,3105000,-72.74982452392578
1667643657.137537,3115000,-77.02011108398438
1667643742.759133,3175000,-71.56230926513672
1667643792.92451,3210000,-75.44635772705078
1667643800.4714825,3215000,-71.93437194824219
1667643812.2273939,3225000,-72.99015808105469
1667643817.4889057,3230000,-71.71385192871094
1667643826.5342226,3235000,-71.3216552734375
1667643834.211509,3240000,-71.60990142822266
1667643848.2980251,3250000,-71.29949951171875
1667643868.9246407,3265000,-72.3399429321289
1667643899.1037056,3285000,-73.63414001464844
1667643907.3064053,3290000,-88.09392547607422
1667643932.9865613,3310000,-74.82585906982422
1667643951.2598643,3325000,-73.98587799072266
1667643980.8894625,3345000,-111.99332427978516
1667644000.7863836,3360000,-75.95045471191406
1667644006.5981007,3365000,-72.12852478027344
1667644012.5397093,3370000,-74.73118591308594
1667644015.8372853,3375000,-75.4024658203125
1667644023.4097428,3380000,-74.7738265991211
1667644040.0031412,3390000,-72.78057861328125
1667644045.2444782,3395000,-75.67879486083984
1667644051.7003596,3400000,-73.75841522216797
1667644072.4597676,3415000,-77.49932861328125
1667644076.343492,3420000,-75.17839813232422
1667644081.338157,3425000,-74.47926330566406
1667644094.8217525,3435000,-78.71286010742188
1667644107.052085,3445000,-73.02452850341797
1667644114.706621,3450000,-92.45171356201172
1667644162.8085523,3485000,-76.60944366455078
1667644183.3287864,3500000,-93.17180633544922
1667644209.551276,3520000,-73.22752380371094
1667644228.8830905,3535000,-72.91694641113281
1667644238.9975493,3545000,-73.25389099121094
1667644254.359897,3555000,-71.58183288574219
1667644278.676614,3575000,-91.81669616699219
1667644303.3628383,3595000,-68.87753295898438
1667644326.410371,3610000,-69.73652648925781
